"conditions.gener.","conditions.ens.","conditions.rech.","conditions.admin.","conditions.relmem.","conditions.relaut.","conditions.carri.","conditions.remun.","conditions.equil.","evolution.gener.","evolution.ens.","evolution.rech.","evolution.admin.","evolution.relmem.","evolution.relaut.","evolution.carri.","evolution.remun.","evolution.equil.","optimisme.gener.","optimisme.ens.","optimisme.rech.","optimisme.admin.","optimisme.relmem.","optimisme.relaut.","optimisme.carri.","optimisme.remun.","optimisme.equil.","confiance.Etat.","confiance.MESRI.","confiance.ParitairesNat.","confiance.CNU.","confiance.CoNRS.","confiance.ANR.","confiance.HCERES.","confiance.ONR.","confiance.FU.","confiance.UDICE.","confiance.AUREF.","confiance.Territoire.","confiance.Presidences.","confiance.Conseils.","confiance.ParitairesLocales.","confiance.Dircomp.","PCinquietude.clim.","PCinquietude.eco.","PCinquietude.diplo.","PCinquietude.pol.","PCimpact.clim.","PCimpact.eco.","PCimpact.diplo.","PCimpact.pol.","PCeffort.clim.","PCeffort.eco.","PCeffort.diplo.","PCeffort.pol.","socle.satisfaction.","socle.bonheur.","socle.sens.","socle.valo.","socle.capretraite.","socle.souretraite.","socle.confiance.","sexe","age","anciennete","metier","discipline","categorie","statut","responsabilites"
"3","5","5","4","8","7","6","3","2","2","4","3","3","5 - Stable","5 - Stable","2","2","1","3","3","3","3","4","4","2","2","1","0 - Pas du tout","0 - Pas du tout","7","9","9","3","3","6","0 - Pas du tout","0 - Pas du tout","5","4","7","7","9","8","9","9","9","9","7","9","6","8","7","6","5","3","5 - Neutre","6","4","4","3","6","8","Féminin","De 45 à 54 ans","De 20 à 29 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'une instance nationale"
"4","1","0 - Pas du tout satisfaisantes","1","2","2","5","8","1","2","0 - Rapide dégradation","2","2","0 - Rapide dégradation","2","5 - Stable","7","2","2","2","2","2","2","2","5 - Neutre","5 - Neutre","2","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","4","4","0 - Pas du tout","0 - Pas du tout","3","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","3","3","1","10 - Tout à fait","8","8","10 - Tout à fait","5","7","3","9","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","7","9","9","1","8","10 - Totalement","8","Féminin","De 55 à 64 ans","De 30 à 39 ans","Personnel d'enseignement et de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'une direction de composante ou laboratoire"
"5","5","2","4","6","6","2","3","3","6","6","2","6","6","6","2","3","2","2","3","1","2","5 - Neutre","5 - Neutre","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","5","0 - Pas du tout satisfaisantes","2","7","7","5","5","2","0 - Rapide dégradation","5 - Stable","3","0 - Rapide dégradation","4","4","4","4","3","3","4","2","2","3","3","3","3","3","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","1","1","1","1","1","1","1","1","1","2","4","6","9","10 - Tout à fait","10 - Tout à fait","7","10 - Tout à fait","7","7","2","7","5","2",NA,"5","7","7","8","4","2",NA,"7","Féminin","De 35 à 44 ans","Moins de 5 ans","Personnel d'enseignement et de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Responsable pédagogique"
"2","2","2","2","5","5","6","6","7","2","2","2","2","5 - Stable","5 - Stable","4","3","3","3","3","3","3","6","6","3","3","6","1","1","7","2","6","4","7","7","Ne connais pas","Ne connais pas","Ne connais pas","5","0 - Pas du tout","5","7","8","5","7","8","8","6","7","3","7","3","2","2","2","7","7","8","8","9","7","7","Masculin","De 55 à 64 ans","De 20 à 29 ans","Personnel de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'une direction de composante ou laboratoire"
"1","2","2","4","7","3","0 - Pas du tout satisfaisantes","3","0 - Pas du tout satisfaisantes","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","5 - Stable","5 - Stable","0 - Rapide dégradation","0 - Rapide dégradation","0 - Rapide dégradation","0 - Sans espoir","2","4","1","5 - Neutre","5 - Neutre","0 - Sans espoir","0 - Sans espoir","2","0 - Pas du tout","0 - Pas du tout","Ne connais pas","5","3","3","3","Ne connais pas","Ne connais pas","Ne connais pas","Ne connais pas","4","0 - Pas du tout","5","Ne connais pas","8","10 - Tout à fait","9",NA,"10 - Tout à fait","7","9",NA,"9","2","3",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","4","2","2","5","5","2","2","2","0 - Rapide dégradation","2","2","2","2","4","1","2","5 - Stable","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","5 - Neutre","0 - Pas du tout","0 - Pas du tout","Ne connais pas","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","Ne connais pas","Ne connais pas","Ne connais pas","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","Ne connais pas","10 - Totalement","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","5","10 - Tout à fait","5","5","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","8","5 - Neutre","4","2","0 - Pas du tout","5 - Neutre","7","Féminin","De 25 à 34 ans","De 10 à 19 ans","Personnel de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","BIATSS catégorie A ou assimilé","Sous contrat CDD","Aucune de ces responsabilités"
"2","3","7","3","8","8","1","4","8","3","3","5 - Stable","3","5 - Stable","4","1","4","5 - Stable","2","2","2","2","6","6","2","2","6","0 - Pas du tout","0 - Pas du tout",NA,"3",NA,"0 - Pas du tout","0 - Pas du tout","3","0 - Pas du tout","0 - Pas du tout",NA,"0 - Pas du tout","0 - Pas du tout","0 - Pas du tout",NA,"9","0 - Pas du tout","2","2","2","8","9","5","8","0 - Pas du tout","5","0 - Pas du tout","0 - Pas du tout","7","8","8","5 - Neutre","5 - Neutre","6","8","Féminin","De 25 à 34 ans","Moins de 5 ans","Personnel d'enseignement et de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","Doctorant, post-doctorant, ATER, ATEN, vacataire ou assimilé","Vacataire ou précaire","Membre d'un conseil de composante ou laboratoire"
"9","6","8","9","9","6","6","9","9","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","7","7","1","6","6","9","9","10 - Tout à fait satisfaisantes","5 - Stable","5 - Stable","5 - Stable","2","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","7","7","7","1","7","7","7","7","7","3","3","7","8","Ne connais pas","2","Ne connais pas","4","Ne connais pas","Ne connais pas","Ne connais pas","2","0 - Pas du tout","0 - Pas du tout","Ne connais pas","10 - Totalement","10 - Tout à fait","7","5","8","10 - Tout à fait","8","0 - Pas du tout","0 - Pas du tout",NA,NA,NA,NA,"10 - Totalement","10 - Totalement","10 - Totalement","8","10 - Totalement","2","8","Féminin","De 35 à 44 ans","De 10 à 19 ans","Personnel d'enseignement et de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'un conseil de composante ou laboratoire"
